"pers.id"	"rate.id"	"eval.id"	"eval.1"	"eval.2"	"eval.3"	"eval.4"	"eval.5"	"eval.6"	"eval.7"	"eval.8"	"eval.9"	"eval.10"	"eval.11"	"eval.12"	"eval.13"	"eval.14"	"eval.15"	"eval.16"	"eval.17"	"eval.18"	"eval.19"	"eval.20"	"eval.21"	"eval.22"	"eval.23"
1	1	1	2	3	3	3	3	3	3	2	1	1	4	3	3	3	2	4	2	3	4	2	2	3	3
1	1	2	3	2	3	2	1	1	2	3	1	3	2	4	3	4	1	3	3	4	2	5	2	4	3
1	1	3	3	3	2	3	3	2	3	3	2	2	3	2	3	3	1	4	2	3	3	3	3	4	2
1	1	4	3	3	3	2	3	3	2	3	3	3	2	4	2	4	3	4	2	3	3	3	2	4	3
1	1	5	3	3	3	4	4	2	3	3	2	3	3	4	2	2	2	3	2	3	2	3	3	4	3
1	201	1	3	3	3	3	3	1	3	2	3	4	2	4	2	3	3	3	3	3	3	3	3	3	3
1	201	2	4	3	3	3	4	1	3	3	3	3	3	3	3	1	3	1	1	4	3	4	2	3	2
1	201	3	3	2	3	2	3	3	3	1	3	3	4	3	3	3	2	2	3	3	3	3	4	4	3
1	201	4	2	1	3	3	3	2	3	4	3	2	3	3	3	4	3	3	3	2	3	4	4	5	2
1	201	5	3	3	3	2	4	3	4	1	3	2	3	3	4	3	1	4	2	3	1	3	2	4	3
2	2	1	4	5	4	3	4	3	3	2	4	1	3	4	4	3	4	4	3	4	4	4	3	4	3
2	2	2	3	4	2	4	4	3	4	3	4	3	4	5	4	3	3	4	2	4	4	3	4	3	1
2	2	3	4	3	3	3	2	4	3	4	3	4	4	4	4	4	5	3	5	3	3	3	3	4	3
2	2	4	4	3	4	2	4	1	4	3	3	3	2	4	4	4	2	3	3	4	4	4	4	3	2
2	2	5	3	4	3	3	3	2	3	2	3	3	3	4	4	3	4	4	4	2	3	3	3	4	3
2	202	1	2	3	3	3	4	3	3	2	1	2	4	5	3	3	3	4	3	3	2	3	4	3	4
2	202	2	3	2	3	3	3	3	3	3	3	3	3	4	3	3	3	3	4	3	4	3	3	3	2
2	202	3	3	3	4	3	2	1	3	3	4	3	4	3	2	3	5	2	3	3	2	3	4	3	2
2	202	4	3	4	4	4	3	3	3	3	2	3	2	4	3	3	2	4	2	4	4	4	3	3	3
2	202	5	4	2	3	4	3	3	3	3	3	3	3	3	3	2	4	3	3	2	4	3	3	4	3
3	3	1	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4	4	5	4	5	5	5	5	4
3	3	2	5	5	5	5	5	5	5	4	4	5	5	5	5	4	4	5	4	5	5	5	5	5	5
3	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	5	5	5	5	5
3	3	4	4	5	5	5	5	5	5	5	5	4	5	4	5	5	5	5	4	5	5	5	5	5	5
3	3	5	5	5	4	4	5	4	5	4	5	4	5	4	4	5	5	5	5	4	5	5	5	5	5
3	203	1	4	3	4	4	5	3	4	5	5	4	4	4	5	4	5	5	4	4	5	4	4	5	4
3	203	2	5	5	5	4	5	4	4	5	5	4	5	5	5	5	5	5	4	5	5	5	5	5	5
3	203	3	4	4	5	5	4	4	4	4	4	4	5	5	5	4	4	5	4	4	5	5	5	5	5
3	203	4	4	5	5	5	5	5	5	4	5	3	4	4	5	4	5	4	5	4	5	4	3	4	4
3	203	5	5	5	5	5	5	4	5	5	5	4	5	5	5	5	4	4	4	3	5	5	5	5	5
4	4	1	3	4	4	4	4	3	3	3	3	3	4	5	3	4	1	4	2	3	4	3	3	4	1
4	4	2	4	4	3	3	3	3	3	3	3	2	3	4	4	2	5	4	3	4	4	3	4	4	3
4	4	3	4	4	3	3	4	3	4	3	3	3	2	3	3	4	2	4	4	3	4	4	3	4	3
4	4	4	4	3	2	2	4	3	3	5	3	4	3	4	4	3	3	5	4	3	3	3	3	4	3
4	4	5	4	4	4	4	4	2	3	3	3	4	3	3	3	4	4	3	3	3	4	2	3	3	3
4	204	1	4	3	4	4	4	3	3	4	4	4	4	4	4	4	3	5	4	3	5	3	3	4	3
4	204	2	4	4	3	5	4	3	4	4	5	4	4	3	4	4	4	5	4	3	5	5	3	4	4
4	204	3	4	4	4	3	4	3	3	4	4	4	4	5	4	5	3	4	2	3	5	5	4	4	3
4	204	4	5	4	3	4	4	3	3	3	3	3	4	4	3	3	4	3	4	4	4	5	4	5	3
4	204	5	3	5	5	4	4	3	3	4	4	3	4	4	4	3	4	4	3	4	4	4	4	4	4
5	5	1	4	4	4	4	5	2	4	4	5	4	4	4	4	4	3	4	5	4	4	5	4	5	4
5	5	2	4	4	3	4	4	2	5	4	5	4	4	5	4	4	4	4	4	4	4	5	5	4	4
5	5	3	4	5	4	4	5	4	5	4	4	5	4	4	4	4	5	4	4	4	4	4	5	5	5
5	5	4	4	3	4	3	4	3	4	4	4	4	4	4	4	5	4	5	4	3	5	4	5	4	4
5	5	5	4	4	4	4	4	3	4	3	3	4	4	5	4	5	3	3	4	5	5	4	4	5	5
5	205	1	4	5	4	4	4	3	4	4	4	4	3	4	4	4	4	3	2	3	4	4	3	4	3
5	205	2	4	4	5	3	4	3	4	3	4	3	4	4	4	5	5	4	4	4	5	5	4	4	4
5	205	3	5	5	4	4	3	4	4	5	4	4	4	5	3	4	3	5	4	4	5	4	5	5	4
5	205	4	3	5	4	4	4	3	4	4	3	4	4	5	3	3	4	4	4	3	4	4	3	4	4
5	205	5	4	4	4	4	4	3	4	4	3	4	4	4	5	4	3	4	4	3	4	4	4	4	4
6	6	1	5	5	5	5	4	4	4	5	4	4	5	5	5	5	4	5	4	5	5	5	4	5	5
6	6	2	4	5	5	4	5	4	5	4	5	4	5	5	5	5	5	5	3	4	5	5	4	5	5
6	6	3	5	4	5	5	5	4	5	5	5	4	4	5	5	4	3	5	5	5	4	4	5	4	4
6	6	4	5	4	4	5	5	4	4	5	4	3	4	5	5	5	4	5	4	4	4	5	5	5	4
6	6	5	5	5	4	4	5	4	5	5	5	4	5	5	4	4	4	4	4	5	5	4	5	5	4
6	206	1	4	5	5	3	4	5	5	5	5	4	3	5	5	4	4	5	3	4	4	5	4	5	5
6	206	2	4	5	5	4	3	5	5	4	4	4	5	5	4	5	5	5	5	5	5	4	5	5	5
6	206	3	4	4	5	4	5	3	5	4	5	3	3	5	5	5	4	4	4	4	4	4	4	5	4
6	206	4	4	5	4	5	4	4	5	5	5	4	4	5	5	4	4	5	4	4	5	4	5	5	5
6	206	5	4	4	5	4	5	3	4	5	5	4	5	5	5	5	4	5	3	4	5	4	5	4	4
7	7	1	4	5	3	3	4	2	4	3	4	3	3	4	5	4	2	4	3	4	5	4	3	5	3
7	7	2	5	4	4	4	4	4	3	4	4	4	4	4	3	4	2	3	3	4	4	4	4	4	3
7	7	3	3	4	4	4	3	4	4	4	3	4	3	4	4	5	3	4	4	3	4	3	4	4	3
7	7	4	4	5	4	3	4	3	4	3	4	4	4	4	4	4	4	4	1	4	4	3	3	4	4
7	7	5	5	3	4	3	4	4	3	4	4	4	4	5	4	4	4	4	2	3	4	3	4	4	3
7	207	1	4	4	3	4	4	3	4	4	4	3	4	5	4	4	4	4	3	5	4	4	5	5	3
7	207	2	4	4	4	5	4	4	4	3	4	4	3	3	5	5	3	5	3	3	4	4	4	5	4
7	207	3	4	4	4	4	4	3	4	4	4	4	4	4	5	4	3	4	4	3	4	4	5	4	4
7	207	4	4	5	4	4	5	3	4	4	3	3	5	4	4	4	4	3	3	3	5	4	4	5	2
7	207	5	3	4	4	3	5	2	4	5	4	3	4	5	4	3	4	3	4	3	3	4	4	3	5
8	8	1	4	5	3	3	4	4	5	5	4	3	4	5	4	5	4	4	4	4	4	4	4	5	3
8	8	2	5	5	5	4	5	4	4	5	4	5	3	4	4	4	4	4	4	3	5	4	4	4	4
8	8	3	5	3	5	4	5	4	5	3	4	4	4	5	3	5	5	5	3	3	4	4	4	5	4
8	8	4	4	4	3	4	5	4	5	5	5	3	4	5	4	4	4	4	4	4	4	3	5	5	4
8	8	5	5	4	4	4	4	3	4	4	3	4	5	5	4	4	4	4	5	5	4	5	4	4	4
8	208	1	4	4	4	4	4	4	4	4	4	3	5	4	5	4	4	5	4	4	4	4	3	4	5
8	208	2	4	4	4	5	4	3	4	3	2	4	3	5	3	3	3	4	4	4	4	4	4	4	4
8	208	3	5	4	4	3	4	3	4	4	4	4	4	4	5	4	3	4	3	4	4	3	4	4	4
8	208	4	4	3	3	4	4	3	4	4	4	3	4	4	4	5	4	3	5	3	5	4	4	5	3
8	208	5	4	5	4	4	3	3	4	4	4	4	4	5	4	3	4	4	5	4	3	4	3	4	5
9	9	1	5	5	5	5	5	5	5	4	5	5	4	4	5	5	3	5	5	5	5	5	5	4	4
9	9	2	5	4	5	5	4	4	4	4	5	5	5	5	4	5	5	5	5	4	5	4	5	5	5
9	9	3	5	5	5	5	4	5	4	5	5	5	5	5	4	5	4	5	5	4	5	5	5	5	5
9	9	4	5	5	5	4	4	5	5	5	4	4	5	5	5	5	4	5	5	5	5	4	5	5	5
9	9	5	5	5	5	5	4	5	5	4	5	5	4	5	5	5	4	5	5	4	5	5	5	5	5
9	209	1	5	5	5	5	5	4	5	5	5	4	4	5	5	5	5	5	5	5	5	4	5	5	5
9	209	2	5	5	5	5	5	5	5	5	5	4	4	4	5	5	5	5	5	4	5	5	5	5	5
9	209	3	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	5
9	209	4	5	4	5	5	5	3	5	5	5	5	4	4	4	5	5	5	5	5	5	5	5	5	4
9	209	5	5	5	5	4	4	5	5	4	5	5	5	5	5	5	4	5	4	5	5	5	5	5	5
10	10	1	5	5	4	5	5	4	5	4	5	4	5	5	5	5	5	5	4	4	5	5	4	5	5
10	10	2	4	5	5	5	5	4	5	5	5	5	5	5	4	5	5	4	5	4	5	5	5	5	5
10	10	3	5	5	5	4	5	5	5	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5
10	10	4	5	4	4	5	5	5	5	4	4	5	5	5	4	5	5	5	5	4	5	5	5	5	4
10	10	5	5	5	4	4	5	4	5	5	5	4	5	5	4	5	4	5	4	5	5	5	5	5	5
10	210	1	5	5	5	5	4	5	5	5	4	5	4	5	5	4	5	5	4	4	5	5	5	5	4
10	210	2	4	5	5	5	5	4	5	4	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5
10	210	3	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	4	4	5	5	5	5	4
10	210	4	5	5	4	5	4	4	5	4	5	4	5	5	4	5	5	5	5	4	5	5	5	5	4
10	210	5	5	5	5	4	5	3	4	4	5	4	5	4	5	5	4	4	5	5	5	5	5	5	4
11	11	1	5	5	5	5	5	4	4	4	5	4	5	5	5	4	5	5	4	3	5	5	5	5	4
11	11	2	5	5	4	5	4	5	4	5	4	4	5	5	5	5	5	5	5	5	5	4	5	4	4
11	11	3	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	4	3	5	5	5	5	5
11	11	4	5	4	5	5	5	4	5	5	5	4	5	5	5	5	4	4	5	5	5	4	5	5	4
11	11	5	5	5	5	5	5	4	4	5	5	4	5	5	4	5	4	5	4	5	5	5	4	5	5
11	211	1	5	3	4	4	4	3	4	4	5	5	5	4	4	4	4	4	4	4	5	5	5	5	5
11	211	2	4	4	5	4	5	3	4	5	4	5	4	5	4	4	4	5	4	5	5	4	5	4	4
11	211	3	4	4	4	5	5	3	5	4	4	3	5	4	4	4	4	5	4	5	5	4	4	5	4
11	211	4	5	4	5	4	4	4	5	4	5	4	5	5	4	4	3	4	4	4	4	4	5	5	4
11	211	5	4	5	4	4	4	3	5	4	4	4	5	5	5	5	4	4	5	4	5	4	5	4	4
12	12	1	4	5	4	3	4	4	4	5	5	4	5	4	5	4	3	5	3	4	5	5	4	5	4
12	12	2	4	4	4	5	5	4	4	5	4	4	2	5	5	4	4	4	4	4	4	5	4	5	4
12	12	3	5	5	4	4	5	4	5	5	4	4	4	5	4	5	4	4	4	3	4	4	3	5	4
12	12	4	4	5	5	4	4	3	4	4	4	4	4	5	5	2	4	4	3	4	5	5	4	5	4
12	12	5	4	5	5	5	5	3	4	3	5	4	4	4	4	5	4	5	4	4	5	5	4	5	5
12	212	1	5	4	5	5	4	3	5	5	3	5	4	4	5	4	3	5	4	4	5	3	4	4	4
12	212	2	4	4	4	4	4	3	4	4	4	5	5	5	3	4	4	4	4	4	4	5	5	3	3
12	212	3	5	5	3	3	4	5	4	4	4	3	5	4	4	4	3	4	4	4	4	4	5	5	4
12	212	4	3	5	4	5	5	3	3	4	4	4	3	5	4	3	4	4	3	3	4	4	4	5	5
12	212	5	4	4	3	4	4	3	5	3	4	4	4	4	4	4	4	4	3	5	4	4	4	4	3
13	13	1	4	4	4	5	5	3	4	5	4	2	4	5	4	4	4	4	4	4	4	4	5	4	1
